version,file,num_words,total_samples,sample_time_seconds,num_chunks,time_per_chunk,fft_time,amplitude_time,max_find_time,total_compute_time
cpu,t1.wav,1,127889,2.90,15,.001650,0.024381,0.000380,0.000003,0.024764
gpu,t1.wav,1,127889,2.90,15,.000025,0.000194,0.000086,0.000098,0.000378
cpu,t2.wav,2,180808,4.10,22,.001626,0.035200,0.000559,0.000013,0.035772
gpu,t2.wav,2,180808,4.10,22,.000024,0.000271,0.000123,0.000135,0.000529
cpu,t3.wav,3,233727,5.30,28,.001642,0.045227,0.000734,0.000016,0.045977
gpu,t3.wav,3,233727,5.30,28,.000023,0.000338,0.000148,0.000173,0.000659
cpu,t4.wav,4,286646,6.50,34,.001624,0.054336,0.000894,0.000013,0.055243
gpu,t4.wav,4,286646,6.50,34,.000023,0.000405,0.000179,0.000209,0.000794
cpu,t5.wav,5,339565,7.70,41,.001624,0.065505,0.001071,0.000018,0.066594
gpu,t5.wav,5,339565,7.70,41,.000023,0.000482,0.000210,0.000266,0.000958
cpu,t6.wav,6,392484,8.90,47,.001661,0.076836,0.001226,0.000021,0.078083
gpu,t6.wav,6,392484,8.90,47,.000023,0.000551,0.000249,0.000284,0.001083
cpu,t7.wav,7,445403,10.10,54,.001650,0.087719,0.001400,0.000030,0.089149
gpu,t7.wav,7,445403,10.10,54,.000022,0.000638,0.000278,0.000323,0.001238
cpu,t8.wav,8,498322,11.30,60,.001626,0.095983,0.001550,0.000032,0.097565
gpu,t8.wav,8,498322,11.30,60,.000023,0.000710,0.000308,0.000363,0.001380
cpu,t9.wav,9,551241,12.50,67,.001633,0.107679,0.001737,0.000035,0.109451
gpu,t9.wav,9,551241,12.50,67,.000022,0.000781,0.000338,0.000401,0.001521
cpu,t10.wav,10,604160,13.70,73,.001623,0.116627,0.001887,0.000035,0.118549
gpu,t10.wav,10,604160,13.70,73,.000022,0.000858,0.000372,0.000433,0.001663
cpu,t11.wav,11,657079,14.90,80,.001628,0.128200,0.002053,0.000048,0.130301
gpu,t11.wav,11,657079,14.90,80,.000022,0.000935,0.000406,0.000485,0.001826
cpu,t12.wav,12,709998,16.10,86,.001628,0.137784,0.002193,0.000045,0.140022
gpu,t12.wav,12,709998,16.10,86,.000022,0.000999,0.000435,0.000516,0.001951
cpu,t13.wav,13,762917,17.30,93,.001626,0.148793,0.002374,0.000054,0.151221
gpu,t13.wav,13,762917,17.30,93,.000022,0.001067,0.000474,0.000560,0.002101
cpu,t14.wav,14,815836,18.50,99,.001680,0.163761,0.002547,0.000063,0.166371
gpu,t14.wav,14,815836,18.50,99,.000022,0.001154,0.000503,0.000585,0.002242
cpu,t15.wav,15,868755,19.70,106,.001625,0.169525,0.002727,0.000048,0.172300
gpu,t15.wav,15,868755,19.70,106,.000022,0.001222,0.000538,0.000632,0.002391
cpu,t16.wav,16,921674,20.90,112,.001627,0.179311,0.002874,0.000050,0.182235
gpu,t16.wav,16,921674,20.90,112,.000022,0.001284,0.000557,0.000662,0.002503
cpu,t17.wav,17,974593,22.10,118,.001627,0.188959,0.003025,0.000056,0.192040
gpu,t17.wav,17,974593,22.10,118,.000022,0.001358,0.000589,0.000727,0.002674
cpu,t18.wav,18,1027512,23.30,125,.001627,0.200212,0.003208,0.000052,0.203472
gpu,t18.wav,18,1027512,23.30,125,.000022,0.001449,0.000622,0.000739,0.002810
cpu,t19.wav,19,1080431,24.50,131,.001633,0.210570,0.003326,0.000061,0.213957
gpu,t19.wav,19,1080431,24.50,131,.000022,0.001522,0.000661,0.000766,0.002948
cpu,t20.wav,20,1133350,25.70,138,.001626,0.220900,0.003539,0.000070,0.224509
gpu,t20.wav,20,1133350,25.70,138,.000022,0.001582,0.000691,0.000833,0.003106
